_id,aula,sede,polo,inDate,date,posto,outDate
5fa8f6701bd2a03f4641a186,5,1,3,2020-11-09T07:57:36.430Z,2020-11-09,4,2020-11-09T12:05:00.383Z
5fa8f6771bd2a03f4641a187,2,1,2,2020-11-09T07:57:43.798Z,2020-11-09,6,2020-11-09T12:05:00.384Z
5fa8f6a01bd2a03f4641a188,4,2,4,2020-11-09T07:58:24.253Z,2020-11-09,7,2020-11-09T12:05:00.385Z
5fa8f6b61bd2a03f4641a189,4,2,4,2020-11-09T07:58:46.206Z,2020-11-09,8,2020-11-09T11:46:15.642Z
5fa8f6db1bd2a03f4641a18b,1,1,1,2020-11-09T07:59:23.801Z,2020-11-09,21,2020-11-09T11:37:29.054Z
5fa8f7281bd2a03f4641a18c,4,2,4,2020-11-09T08:00:40.548Z,2020-11-09,9,2020-11-09T11:47:00.734Z
5fa8f79a1bd2a03f4641a18d,7,1,7,2020-11-09T08:02:34.059Z,2020-11-09,1,2020-11-09T11:53:27.049Z
5fa8f7a71bd2a03f4641a18e,7,1,7,2020-11-09T08:02:47.992Z,2020-11-09,2,2020-11-09T12:05:00.386Z
5fa8f7a81bd2a03f4641a18f,4,2,4,2020-11-09T08:02:48.257Z,2020-11-09,10,2020-11-09T12:05:00.388Z
5fa8f7ae1bd2a03f4641a190,7,1,7,2020-11-09T08:02:54.392Z,2020-11-09,3,2020-11-09T12:05:00.389Z
5fa8f7b91bd2a03f4641a191,7,1,7,2020-11-09T08:03:05.542Z,2020-11-09,4,2020-11-09T12:05:00.392Z
5fa8f7ce1bd2a03f4641a192,7,1,7,2020-11-09T08:03:26.001Z,2020-11-09,5,2020-11-09T11:54:10.182Z
5fa8f7df1bd2a03f4641a193,7,1,7,2020-11-09T08:03:43.074Z,2020-11-09,6,2020-11-09T11:54:07.799Z
5fa8f7e01bd2a03f4641a194,3,1,3,2020-11-09T08:03:44.953Z,2020-11-09,4,2020-11-09T09:59:49.021Z
5fa8f7e51bd2a03f4641a195,7,1,7,2020-11-09T08:03:49.865Z,2020-11-09,7,2020-11-09T12:05:00.393Z
5fa8f7e81bd2a03f4641a197,3,1,3,2020-11-09T08:03:52.809Z,2020-11-09,5,2020-11-09T12:05:00.393Z
5fa8f7ea1bd2a03f4641a198,7,1,7,2020-11-09T08:03:54.159Z,2020-11-09,8,2020-11-09T12:05:00.394Z
5fa8f7ec1bd2a03f4641a199,2,1,2,2020-11-09T08:03:56.915Z,2020-11-09,7,2020-11-09T10:02:47.164Z
5fa8f7ed1bd2a03f4641a19a,7,1,7,2020-11-09T08:03:57.831Z,2020-11-09,9,2020-11-09T12:05:00.395Z
5fa8f7f11bd2a03f4641a19b,2,1,2,2020-11-09T08:04:01.532Z,2020-11-09,8,2020-11-09T10:01:46.231Z
5fa8f8081bd2a03f4641a19c,4,2,4,2020-11-09T08:04:24.318Z,2020-11-09,11,2020-11-09T12:05:00.396Z
5fa8f80a1bd2a03f4641a19d,7,1,7,2020-11-09T08:04:26.607Z,2020-11-09,10,2020-11-09T12:05:00.397Z
5fa8f80f1bd2a03f4641a19e,8,2,4,2020-11-09T08:04:31.777Z,2020-11-09,1,2020-11-09T12:05:00.399Z
5fa8f8191bd2a03f4641a19f,8,2,4,2020-11-09T08:04:41.600Z,2020-11-09,2,2020-11-09T12:05:00.400Z
